,home_team,away_team,tournament,city,country,neutral,year,month,day,Continent,Country,MaximumTemp_Month,MinimumTemp_Month,HomeTeamRank,AwayTeamRank
0,New Zealand,Norway,FIFA World Cup,Auckland,New Zealand,False,2023,July,20,Oceania,New Zealand,14,10,22,11
1,Australia,Republic of Ireland,FIFA World Cup,Sydney,Australia,False,2023,July,20,Oceania,Australia,17,9,12,24
2,Nigeria,Canada,FIFA World Cup,Melbourne,Australia,True,2023,July,20,Oceania,Australia,17,9,39,6
3,Philippines,Switzerland,FIFA World Cup,Adelaide,Australia,True,2023,July,20,Oceania,Australia,17,9,53,21
4,Spain,Costa Rica,FIFA World Cup,Wellington,New Zealand,True,2023,July,20,Oceania,New Zealand,14,10,7,37
5,USA,Vietnam,FIFA World Cup,Auckland,New Zealand,True,2023,July,22,Oceania,New Zealand,14,10,1,32
6,Zambia,Japan,FIFA World Cup,Adelaide,Australia,True,2023,July,22,Oceania,Australia,17,9,103,11
7,England,Haiti,FIFA World Cup,Adelaide,Australia,True,2023,July,22,Oceania,Australia,17,9,4,56
8,Denmark,China,FIFA World Cup,Perth,Australia,True,2023,July,22,Oceania,Australia,17,9,15,16
9,Sweden,South Africa,FIFA World Cup,Wellington,New Zealand,True,2023,July,23,Oceania,New Zealand,14,10,2,54
10,Netherlands,Portugal,FIFA World Cup,Adelaide,Australia,True,2023,July,23,Oceania,Australia,17,9,4,23
11,France,Jamaica,FIFA World Cup,Sydney,Australia,True,2023,July,23,Oceania,Australia,17,9,3,51
12,Italy,Argentina,FIFA World Cup,Auckland,New Zealand,True,2023,July,24,Oceania,New Zealand,14,10,14,29
13,Germany,Morocco,FIFA World Cup,Melbourne,Australia,True,2023,July,24,Oceania,Australia,17,9,2,76
14,Brazil,Panama,FIFA World Cup,Adelaide,Australia,True,2023,July,24,Oceania,Australia,17,9,9,57
15,Colombia,South Korea,FIFA World Cup,Sydney,Australia,True,2023,July,24,Oceania,Australia,17,9,25,17
16,New Zealand,Philippines,FIFA World Cup,Wellington,New Zealand,False,2023,July,25,Oceania,New Zealand,14,10,22,53
17,Switzerland,Norway,FIFA World Cup,Adelaide,Australia,True,2023,July,25,Oceania,Australia,17,9,21,11
18,Spain,Zambia,FIFA World Cup,Auckland,New Zealand,True,2023,July,26,Oceania,New Zealand,14,10,7,103
19,Japan,Costa Rica,FIFA World Cup,Adelaide,Australia,True,2023,July,26,Oceania,Australia,17,9,11,37
20,Canada,Republic of Ireland,FIFA World Cup,Perth,Australia,True,2023,July,26,Oceania,Australia,17,9,6,24
