home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,month,day,Continent,MaximumTemp_Month,MinimumTemp_Month,HomeTeamRank,AwayTeamRank,MatchResult
Italy,France,1,0,Euro,Novara,Italy,FALSE,1969,November,1,Europe,18,13,10,8,1
Denmark,England,4,3,Euro,Aosta,Italy,TRUE,1969,November,1,Europe,18,13,8,8,1
England,France,2,0,Euro,Turin,Italy,TRUE,1969,November,2,Europe,18,13,8,3,1
Italy,Denmark,3,1,Euro,Turin,Italy,FALSE,1969,November,2,Europe,18,13,10,8,1
England,Germany,5,1,World Cup,Genova,Italy,TRUE,1970,July,6,Europe,29,23,8,2,1
Mexico,Austria,9,0,World Cup,Bari,Italy,TRUE,1970,July,6,Europe,29,23,22,21,1
Denmark,Germany,6,1,World Cup,Bologna,Italy,TRUE,1970,July,9,Europe,29,23,8,2,1
Italy,Switzerland,2,1,World Cup,Salerno,Italy,FALSE,1970,July,9,Europe,29,23,10,26,1
Denmark,England,2,0,World Cup,Milan,Italy,TRUE,1970,July,10,Europe,29,23,8,8,1
Italy,Mexico,2,1,World Cup,Napoli,Italy,FALSE,1970,July,11,Europe,29,23,10,22,1
Mexico,England,3,2,World Cup,Torino,Italy,TRUE,1970,July,13,Europe,29,23,22,8,1
Italy,Denmark,0,2,World Cup,Torino,Italy,FALSE,1970,July,15,Europe,29,23,10,8,0
Mexico,Argentina,3,1,World Cup,Mexico City,Mexico,FALSE,1971,August,15,North America,22,11,22,35,1
Denmark,France,3,0,World Cup,Guadalajara,Mexico,TRUE,1971,August,18,North America,22,11,8,3,1
Argentina,England,4,1,World Cup,Mexico City,Mexico,TRUE,1971,August,21,North America,22,11,35,8,1
France,Italy,0,1,World Cup,Guadalajara,Mexico,TRUE,1971,August,21,North America,22,11,3,10,0
Mexico,England,4,0,World Cup,Mexico City,Mexico,FALSE,1971,August,22,North America,22,11,22,8,1
Denmark,Italy,1,1,World Cup,Guadalajara,Mexico,TRUE,1971,August,22,North America,22,11,8,10,2
Denmark,Argentina,5,0,World Cup,Mexico City,Mexico,TRUE,1971,August,28,North America,22,11,8,35,1
England,France,2,3,World Cup,Guadalajara,Mexico,TRUE,1971,August,28,North America,22,11,8,3,0
Mexico,Italy,2,1,World Cup,Mexico City,Mexico,FALSE,1971,August,29,North America,22,11,22,10,1
Italy,Argentina,4,0,World Cup,Guadalajara,Mexico,TRUE,1971,September,4,North America,22,12,10,35,1
Mexico,Denmark,0,3,World Cup,Mexico City,Mexico,FALSE,1971,September,5,North America,22,12,22,8,0
Scotland,England,2,3,Friendly,Greenock,Scotland,FALSE,1972,November,18,europe,7,3,21,8,0
Thailand,Australia,3,2,AFC Championship,Hong Kong,Hong Kong,TRUE,1975,August,25,Asia,32,28,41,15,1
Hong Kong,New Zealand,0,2,AFC Championship,Hong Kong,Hong Kong,FALSE,1975,August,25,Asia,32,28,64,23,0
Thailand,Singapore,3,0,AFC Championship,Hong Kong,Hong Kong,TRUE,1975,August,27,Asia,32,28,41,92,1
New Zealand,Malaysia,3,0,AFC Championship,Hong Kong,Hong Kong,TRUE,1975,August,27,Asia,32,28,23,86,1
Australia,Singapore,3,0,AFC Championship,Hong Kong,Hong Kong,TRUE,1975,August,29,Asia,32,28,15,92,1
Hong Kong,Malaysia,0,2,AFC Championship,Hong Kong,Hong Kong,FALSE,1975,August,29,Asia,32,28,64,86,0
New Zealand,Australia,3,2,AFC Championship,Hong Kong,Hong Kong,TRUE,1975,August,31,Asia,32,28,23,15,1
Thailand,Malaysia,3,0,AFC Championship,Hong Kong,Hong Kong,TRUE,1975,August,31,Asia,32,28,41,86,1
Australia,Malaysia,5,0,AFC Championship,Hong Kong,Hong Kong,TRUE,1975,September,2,Asia,32,27,15,86,1
New Zealand,Thailand,3,1,AFC Championship,Hong Kong,Hong Kong,TRUE,1975,September,2,Asia,32,27,23,41,1
Taiwan,Indonesia,5,0,AFC Championship,Taipei,Taiwan,FALSE,1977,August,2,Asia,33,27,40,68,1
Thailand,Singapore,2,0,AFC Championship,Taipei,Taiwan,TRUE,1977,August,3,Asia,33,27,41,92,1
Indonesia,Japan,1,0,AFC Championship,Taipei,Taiwan,TRUE,1977,August,5,Asia,33,27,68,11,1
Thailand,Hong Kong,5,0,AFC Championship,Taipei,Taiwan,TRUE,1977,August,5,Asia,33,27,41,64,1
Taiwan,Japan,7,0,AFC Championship,Taipei,Taiwan,FALSE,1977,August,7,Asia,33,27,40,11,1
Singapore,Hong Kong,1,0,AFC Championship,Taipei,Taiwan,TRUE,1977,August,7,Asia,33,27,92,64,1
Taiwan,Singapore,3,0,AFC Championship,Taipei,Taiwan,FALSE,1977,August,9,Asia,33,27,40,92,1
Thailand,Indonesia,2,1,AFC Championship,Taipei,Taiwan,TRUE,1977,August,9,Asia,33,27,41,68,1
Singapore,Indonesia,2,0,AFC Championship,Taipei,Taiwan,TRUE,1977,August,11,Asia,33,27,92,68,1
Taiwan,Thailand,1,0,AFC Championship,Taipei,Taiwan,FALSE,1977,August,11,Asia,33,27,40,41,1
Italy,Northern Ireland,4,0,Euro,Naples,Italy,FALSE,1979,July,18,Europe,29,23,10,77,1
Denmark,France,3,1,Euro,Naples,Italy,TRUE,1979,July,18,Europe,29,23,8,3,1
England,Finland,3,1,Euro,Sorrento,Italy,TRUE,1979,July,19,Europe,29,23,8,16,1
Sweden,Wales,3,0,Euro,Rimini,Italy,TRUE,1979,July,19,Europe,29,23,5,56,1
Northern Ireland,Norway,1,4,Euro,Naples,Italy,TRUE,1979,July,20,Europe,29,23,77,3,0
France,Scotland,0,0,Euro,Rimini,Italy,TRUE,1979,July,20,Europe,29,23,3,21,2
Switzerland,Finland,1,1,Euro,Scafati,Italy,TRUE,1979,July,21,Europe,29,23,26,16,2
Wales,Netherlands,0,2,Euro,Rimini,Italy,TRUE,1979,July,21,Europe,29,23,56,14,0
Italy,Norway,2,1,Euro,Benevento,Italy,FALSE,1979,July,22,Europe,29,23,10,3,1
Denmark,Scotland,2,0,Euro,Riccione,Italy,TRUE,1979,July,22,Europe,29,23,8,21,1
England,Switzerland,2,0,Euro,Sorrento,Italy,TRUE,1979,July,23,Europe,29,23,8,26,1
Sweden,Netherlands,1,1,Euro,Rimini,Italy,TRUE,1979,July,23,Europe,29,23,5,14,2
Italy,England,3,1,Euro,Naples,Italy,FALSE,1979,July,25,Europe,29,23,10,8,1
Denmark,Sweden,1,0,Euro,Rimini,Italy,TRUE,1979,July,25,Europe,29,23,8,5,1
Sweden,England,0,0,Euro,Naples,Italy,TRUE,1979,July,27,Europe,29,23,5,8,2
Italy,Denmark,0,2,Euro,Naples,Italy,FALSE,1979,July,28,Europe,29,23,10,8,0
India,Australia,2,0,AFC Championship,Calicut,India,FALSE,1980,January,11,Asia,31,23,56,15,1
India,Taiwan,0,5,AFC Championship,Calicut,India,FALSE,1980,January,12,Asia,31,23,56,40,0
India,Hong Kong,2,0,AFC Championship,Calicut,India,FALSE,1980,January,12,Asia,31,23,56,64,1
Taiwan,Malaysia,2,0,AFC Championship,Calicut,India,TRUE,1980,January,13,Asia,31,23,40,86,1
India,Australia,0,3,AFC Championship,Calicut,India,FALSE,1980,January,13,Asia,31,23,56,15,0
Australia,Malaysia,1,0,AFC Championship,Calicut,India,TRUE,1980,January,14,Asia,31,23,15,86,1
India,Hong Kong,1,0,AFC Championship,Calicut,India,FALSE,1980,January,14,Asia,31,23,56,64,1
India,Taiwan,0,0,AFC Championship,Calicut,India,FALSE,1980,January,15,Asia,31,23,56,40,2
Hong Kong,Malaysia,2,1,AFC Championship,Calicut,India,TRUE,1980,January,15,Asia,31,23,64,86,1
India,India,1,0,AFC Championship,Calicut,India,FALSE,1980,January,16,Asia,31,23,56,56,1
Taiwan,Australia,2,0,AFC Championship,Calicut,India,TRUE,1980,January,16,Asia,31,23,40,15,1
Taiwan,Hong Kong,3,0,AFC Championship,Calicut,India,TRUE,1980,January,17,Asia,31,23,40,64,1
India,Malaysia,0,3,AFC Championship,Calicut,India,FALSE,1980,January,17,Asia,31,23,56,86,0
Hong Kong,Australia,1,0,AFC Championship,Calicut,India,TRUE,1980,January,18,Asia,31,23,64,15,1
India,Malaysia,0,0,AFC Championship,Calicut,India,FALSE,1980,January,18,Asia,31,23,56,86,2
Taiwan,Australia,5,0,AFC Championship,Calicut,India,TRUE,1980,January,19,Asia,31,23,40,15,1
India,Hong Kong,3,1,AFC Championship,Calicut,India,FALSE,1980,January,19,Asia,31,23,56,64,1
India,Taiwan,0,2,AFC Championship,Calicut,India,FALSE,1980,January,20,Asia,31,23,56,40,0
Hong Kong,Philippines,2,0,AFC Championship,Hong Kong,Hong Kong,FALSE,1981,June,7,Asia,31,27,64,67,1
Taiwan,Japan,1,0,AFC Championship,Hong Kong,Hong Kong,TRUE,1981,June,7,Asia,31,27,40,11,1
India,Singapore,5,0,AFC Championship,Hong Kong,Hong Kong,TRUE,1981,June,8,Asia,31,27,56,92,1
Thailand,Indonesia,3,0,AFC Championship,Hong Kong,Hong Kong,TRUE,1981,June,8,Asia,31,27,41,68,1
Hong Kong,Singapore,1,0,AFC Championship,Hong Kong,Hong Kong,FALSE,1981,June,10,Asia,31,27,64,92,1
India,Philippines,8,0,AFC Championship,Hong Kong,Hong Kong,TRUE,1981,June,10,Asia,31,27,56,67,1
Taiwan,Indonesia,10,0,AFC Championship,Hong Kong,Hong Kong,TRUE,1981,June,11,Asia,31,27,40,68,1
Thailand,Japan,2,0,AFC Championship,Hong Kong,Hong Kong,TRUE,1981,June,11,Asia,31,27,41,11,1
Hong Kong,India,0,0,AFC Championship,Hong Kong,Hong Kong,FALSE,1981,June,12,Asia,31,27,64,56,2
Singapore,Philippines,4,1,AFC Championship,Hong Kong,Hong Kong,TRUE,1981,June,12,Asia,31,27,92,67,1
Taiwan,Thailand,3,0,AFC Championship,Hong Kong,Hong Kong,TRUE,1981,June,13,Asia,31,27,40,41,1
Japan,Indonesia,1,0,AFC Championship,Hong Kong,Hong Kong,TRUE,1981,June,13,Asia,31,27,11,68,1
Thailand,India,1,0,AFC Championship,Hong Kong,Hong Kong,TRUE,1981,June,15,Asia,31,27,41,56,1
Hong Kong,Taiwan,0,1,AFC Championship,Hong Kong,Hong Kong,FALSE,1981,June,15,Asia,31,27,64,40,0
Hong Kong,India,0,2,AFC Championship,Hong Kong,Hong Kong,FALSE,1981,June,17,Asia,31,27,64,56,0
Thailand,Taiwan,0,5,AFC Championship,Hong Kong,Hong Kong,TRUE,1981,June,17,Asia,31,27,41,40,0
Denmark,Italy,1,1,Mundialito,Kobe,Japan,TRUE,1981,September,6,Asia,27,21,8,10,2
Japan,England,0,4,Mundialito,Kobe,Japan,FALSE,1981,September,6,Asia,27,21,11,8,0
Japan,Italy,0,9,Mundialito,Tokyo,Japan,FALSE,1981,September,9,Asia,27,21,11,10,0
England,Denmark,0,1,Mundialito,Tokyo,Japan,TRUE,1981,September,9,Asia,27,21,8,8,0
Finland,Sweden,0,6,UEFA Euro qualification,Vammala,Finland,FALSE,1982,August,18,Europe,19,15,16,5,0
Norway,Iceland,2,2,UEFA Euro qualification,Tønsberg,Norway,FALSE,1982,August,28,Europe,20,11,3,17,2
Northern Ireland,Scotland,1,2,UEFA Euro qualification,Belfast,Northern Ireland,FALSE,1982,September,4,europe,16,10,77,21,0
Iceland,Sweden,0,6,UEFA Euro qualification,Kópavogur,Iceland,FALSE,1982,September,9,Europe,10,7,17,5,0
Finland,Norway,0,3,UEFA Euro qualification,Kotka,Finland,FALSE,1982,September,15,Europe,15,12,16,3,0
England,Northern Ireland,7,1,UEFA Euro qualification,Crewe,England,FALSE,1982,September,19,europe,19,12,8,77,1
Scotland,Republic of Ireland,3,0,UEFA Euro qualification,Dunfermline,Scotland,FALSE,1982,September,19,europe,14,8,21,31,1
Belgium,Netherlands,3,2,UEFA Euro qualification,Brussels,Belgium,FALSE,1982,September,25,Europe,20,12,27,14,1
Sweden,Norway,2,0,UEFA Euro qualification,Tyresö,Sweden,FALSE,1982,September,29,Europe,16,10,5,3,1
Northern Ireland,Republic of Ireland,1,2,UEFA Euro qualification,Bangor,Northern Ireland,FALSE,1982,October,2,europe,13,8,77,31,0
Scotland,England,0,4,UEFA Euro qualification,Dumbarton,Scotland,FALSE,1982,October,3,europe,11,6,21,8,0
Switzerland,Portugal,2,0,UEFA Euro qualification,Solothurn,Switzerland,FALSE,1982,October,10,Europe,15,5,26,41,1
Netherlands,Denmark,2,1,UEFA Euro qualification,Groningen,Netherlands,FALSE,1982,October,13,Europe,15,10,14,8,1
France,Italy,1,0,UEFA Euro qualification,Valence,France,FALSE,1982,October,30,Europe,17,10,3,10,1
Denmark,Belgium,1,0,UEFA Euro qualification,Tårnby,Denmark,FALSE,1982,November,6,Europe,8,6,8,27,1
Republic of Ireland,England,0,1,UEFA Euro qualification,Dublin,Republic of Ireland,FALSE,1982,November,7,Europe,10,7,31,8,0
Italy,Portugal,3,0,UEFA Euro qualification,Genoa,Italy,FALSE,1982,November,14,Europe,18,13,10,41,1
Portugal,France,0,0,UEFA Euro qualification,Lisbon,Portugal,FALSE,1982,December,4,Europe,16,10,41,3,2
France,Portugal,2,0,UEFA Euro qualification,Pauillac,France,FALSE,1983,February,12,Europe,8,3,3,41,1
Germany,Belgium,1,1,UEFA Euro qualification,Bergisch Gladbach,Germany,FALSE,1983,March,5,Europe,9,2,2,27,2
Republic of Ireland,Scotland,1,1,UEFA Euro qualification,Dublin,Republic of Ireland,FALSE,1983,March,18,Europe,9,5,31,21,2
Netherlands,Germany,2,2,UEFA Euro qualification,Venray,Netherlands,FALSE,1983,March,19,Europe,10,4,14,2,2
Portugal,Switzerland,1,1,UEFA Euro qualification,Coimbra,Portugal,FALSE,1983,April,3,Europe,19,12,41,26,2
Thailand,Malaysia,8,0,AFC Championship,Bangkok,Thailand,FALSE,1983,April,10,Asia,36,29,41,86,1
India,Philippines,5,0,AFC Championship,Bangkok,Thailand,TRUE,1983,April,10,Asia,36,29,56,67,1
Singapore,Hong Kong,2,0,AFC Championship,Bangkok,Thailand,TRUE,1983,April,10,Asia,36,29,92,64,1
Thailand,Singapore,3,0,AFC Championship,Bangkok,Thailand,FALSE,1983,April,11,Asia,36,29,41,92,1
India,Hong Kong,1,0,AFC Championship,Bangkok,Thailand,TRUE,1983,April,11,Asia,36,29,56,64,1
Malaysia,Philippines,1,0,AFC Championship,Bangkok,Thailand,TRUE,1983,April,11,Asia,36,29,86,67,1
Singapore,Philippines,5,0,AFC Championship,Bangkok,Thailand,TRUE,1983,April,12,Asia,36,29,92,67,1
Thailand,Hong Kong,4,0,AFC Championship,Bangkok,Thailand,FALSE,1983,April,12,Asia,36,29,41,64,1
India,Malaysia,3,0,AFC Championship,Bangkok,Thailand,TRUE,1983,April,12,Asia,36,29,56,86,1
Singapore,Malaysia,5,1,AFC Championship,Bangkok,Thailand,TRUE,1983,April,14,Asia,36,29,92,86,1
Philippines,Hong Kong,2,0,AFC Championship,Bangkok,Thailand,TRUE,1983,April,14,Asia,36,29,67,64,1
Thailand,India,2,1,AFC Championship,Bangkok,Thailand,FALSE,1983,April,14,Asia,36,29,41,56,1
Thailand,Philippines,5,0,AFC Championship,Bangkok,Thailand,FALSE,1983,April,15,Asia,36,29,41,67,1
Malaysia,Hong Kong,5,0,AFC Championship,Bangkok,Thailand,TRUE,1983,April,15,Asia,36,29,86,64,1
India,Singapore,1,0,AFC Championship,Bangkok,Thailand,TRUE,1983,April,15,Asia,36,29,56,92,1
Scotland,Northern Ireland,3,0,UEFA Euro qualification,Glasgow,Scotland,FALSE,1983,April,17,europe,10,3,21,77,1
Malaysia,Singapore,0,0,AFC Championship,Bangkok,Thailand,TRUE,1983,April,17,Asia,36,29,86,92,2
Thailand,India,3,0,AFC Championship,Bangkok,Thailand,FALSE,1983,April,17,Asia,36,29,41,56,1
Netherlands,Belgium,5,0,UEFA Euro qualification,Oosterhout,Netherlands,FALSE,1983,April,23,Europe,13,7,14,27,1
Italy,France,3,0,UEFA Euro qualification,Vicenza,Italy,FALSE,1983,April,24,Europe,18,12,10,3,1
Germany,Denmark,1,1,UEFA Euro qualification,Delmenhorst,Germany,FALSE,1983,April,30,Europe,15,6,2,8,2
France,Switzerland,1,1,UEFA Euro qualification,Meaux,France,FALSE,1983,May,7,Europe,19,10,3,26,2
